FGM,FGP,FGN,GCO,FGG,NOD,FSN,FNN,CGB,FIN,DGR,CGR,NSD,DPQ,DCN,DOR,DIN,CPS,NPA,BAT,FGC,GBC,IBC,CCN,DNN,FGT,DGP,TCL,TPL,TSL,TAD,TSP,TDL,HMP,AST,FFS,FSP,ADI,ADR,AER,ARR,NPP,NOC,NOO,NM1,NM2,NOA,GCN,GFN,GAL,GUN,GFS,GFR,GFO,GPR,EZ1,EZ2,EZ3,DMP,DMG,HGI,GSI,GST,GEI,NGO,NOE,AFM,ACM,DOA,ACP,NCL,APO,AGE,PDC,ACL,TDD,EM1,PGO,AGS,DPN,NTD,OKP,FVP
NTG,+,+,+,0,+,-,+,+,-,0,+,-,+,-,-,-,-,+,0,0,-,0,0,0,+,-,0,0,+,-,+,-,-,-,+,+,+,0,+,0,+,-,-,-,-,-,-,-,0,-,-,0,-,+,+,-,-,-,0,0,0,-,0,0,+,0,+,0,+,-,-,+,-,-,0,0,0,0,0,0,0,+,+
SaG,+,+,+,0,+,-,+,+,-,0,+,+,+,-,-,-,-,+,0,0,-,0,0,0,-,-,0,0,+,+,0,+,-,-,+,+,+,0,+,0,+,-,-,-,+,0,0,-,0,-,-,0,-,+,+,-,-,-,0,0,0,-,0,0,0,0,0,0,-,0,+,-,0,-,+,+,-,0,0,+,+,+,-
CGA,+,+,+,0,+,-,+,+,-,0,+,+,+,-,-,-,-,+,0,0,-,0,0,0,-,-,0,0,+,+,0,-,-,-,+,+,+,0,+,0,+,-,-,-,+,0,0,-,0,-,-,0,-,+,+,-,-,-,0,0,0,-,0,0,0,0,0,0,+,0,+,-,0,-,+,+,-,0,0,+,+,+,+
CGB,+,+,+,0,+,-,+,+,-,0,+,+,+,-,-,-,-,+,0,0,-,0,0,0,-,-,0,0,+,+,0,+,-,-,+,+,+,0,+,0,+,-,-,-,+,0,0,-,0,-,-,0,-,+,+,-,-,-,0,0,0,-,0,0,0,0,0,0,-,0,+,-,0,-,+,+,-,0,0,+,+,+,+
Grk,+,+,+,0,+,-,+,+,-,0,+,+,+,-,-,-,-,+,0,0,-,0,0,0,-,-,0,0,+,-,-,-,-,-,+,+,+,0,+,0,+,-,-,-,-,-,-,-,0,-,-,0,-,+,+,-,-,-,0,0,0,-,0,0,+,0,+,0,+,-,+,-,0,-,+,+,0,0,0,0,0,+,+
RPG,+,+,+,0,+,-,+,+,-,0,+,+,+,-,+,-,-,+,0,0,-,0,0,0,0,-,0,0,+,?,0,-,-,-,+,+,+,0,+,0,-,-,-,-,-,-,-,-,0,-,-,0,-,+,+,-,-,-,-,0,0,-,0,0,-,+,0,0,+,+,+,+,-,-,0,+,0,0,0,0,0,-,+
CyG,+,+,+,0,+,-,+,+,-,0,+,+,+,-,-,-,-,+,0,0,-,0,0,0,-,-,0,0,+,-,-,-,-,-,+,+,+,0,+,0,+,-,-,-,-,-,-,-,0,-,-,0,-,+,+,-,-,-,0,0,0,-,0,0,+,0,+,0,+,+,+,-,0,-,+,+,0,0,0,0,0,+,+
Got,+,+,+,0,+,-,+,+,-,0,-,0,0,-,0,0,-,+,0,0,-,0,0,0,0,-,+,0,+,+,0,0,-,-,+,+,+,0,+,0,-,-,-,-,-,-,-,-,0,-,-,+,-,+,+,-,-,-,0,0,0,-,0,0,+,0,+,0,0,?,-,?,?,0,?,?,0,0,0,0,0,0,0
OE,+,+,+,0,+,-,+,+,-,0,+,-,-,-,-,-,-,+,0,0,-,0,0,0,0,-,0,0,+,+,0,+,-,-,+,+,+,+,+,0,-,-,-,-,-,-,-,-,0,-,-,+,-,+,+,-,-,-,0,0,0,-,0,0,+,0,-,-,0,+,-,-,0,+,0,?,0,0,0,-,0,0,0
E,+,+,+,0,+,-,+,+,-,0,+,+,-,-,-,-,-,+,0,0,-,0,0,0,0,-,0,0,+,+,0,+,-,-,+,-,-,0,+,0,-,-,-,-,-,-,-,-,0,-,-,+,+,+,+,-,-,-,0,0,0,-,0,0,-,-,0,0,0,+,-,-,0,0,0,-,0,-,0,-,0,+,0
